,X,Y
0,"[-2.7850296e+02  4.9930229e+01  1.0886140e+01  6.7130074e+01
 -4.5245023e+00  4.2385036e+01 -1.2014733e+01  2.4312580e+01
 -2.8029633e+00  1.6938723e+01 -3.8701730e+00  1.6071507e+01
 -9.2953482e+00  6.0664854e+00 -3.0292008e+00 -7.2490495e-01
 -7.1789207e+00  5.3616033e+00 -5.5804124e+00  4.1769414e+00
  4.3329126e-01  7.2593622e+00  1.8523183e-01 -4.5980966e-01
  2.9252088e-01 -2.2801344e+00 -1.8114614e+00 -1.1237341e+00
 -4.3552610e-01 -4.0313916e+00 -4.9891949e-01 -1.3141350e+00
 -6.5756208e-01 -7.4469215e-01 -1.0190769e+00 -2.0568330e+00
 -5.0954139e-01 -2.8566654e+00 -6.2348670e-01 -1.8582635e+00
  6.0950112e-01 -1.5279572e+00  7.2817422e-02 -1.4094001e+00
  1.5204579e-01 -1.1693405e+00 -8.2060754e-01 -4.1817871e-01
 -2.3701678e-01 -1.7524951e+00  5.9064776e-01 -1.3057523e+00
 -6.9728464e-02 -1.1474507e+00 -7.2201127e-01  6.7283934e-01
 -5.5058080e-01 -8.8687867e-01 -1.7129695e-01 -8.0520922e-01
  2.7516684e-02 -1.0021958e+00 -3.1395264e-02 -8.6056270e-02
 -7.2944468e-01  1.6596690e-01 -9.0109237e-02 -4.3381566e-01
 -1.7259394e-01  1.3707642e-01 -1.9915889e-01 -1.8056720e-01
  2.0506401e-01 -3.2247812e-01  1.9661170e-01 -8.7333754e-02
 -2.9596958e-01  2.6698115e-01 -4.1863513e-01  6.9895975e-02
 -3.3076981e-01 -2.7432423e-02 -4.4499713e-01  6.7991786e-02
 -6.9067025e-01  3.0300543e-01 -3.6856925e-01 -2.6226929e-01
 -2.4723336e-01 -7.3578820e-02 -2.0980430e-01 -2.4003397e-01
 -1.1706250e-01 -2.7792084e-01 -1.7859271e-01 -8.5890656e-03
 -2.9306754e-01 -2.9628015e-01 -3.8319570e-01 -3.0091369e-01
 -3.3887106e-01 -1.5643474e-03  2.5046128e-01  8.3628871e-02
  5.3444856e-01 -2.2959603e-02  6.4901792e-02 -2.2314380e-01
  6.0201241e-03  8.9659303e-02  9.3333349e-02  8.5931063e-02
  1.2538485e-02 -8.7654278e-02  1.4676787e-02  6.3855581e-02
 -8.3332751e-03  1.3421643e-01 -6.6668339e-02  1.1602658e-01
 -2.8883976e-01  1.5868047e-01 -3.0758586e-02  1.3020429e-01
  5.0033648e-02 -1.0293141e-01 -2.1897065e-02 -3.3535482e-03]",test
1,"[-2.4021512e+02  1.0209902e+02 -2.6844687e+01  2.9670654e+01
 -8.4995785e+00  1.2178422e+01  2.0258839e+00  1.1097520e+01
 -2.1567411e+00  3.1729891e+00  3.3273270e+00  1.4216077e-01
  9.4062986e+00  3.2338161e+00  6.8919005e+00  5.4172921e+00
 -7.0138645e+00  3.9856606e+00 -7.5398278e-01 -9.1148384e-02
 -5.2825813e+00 -1.9076495e+00 -7.6487702e-01 -2.5866420e+00
  2.1373057e+00 -3.9126873e-01 -3.1607354e-01 -1.1482592e-01
  1.7261691e-01  1.7832875e+00  4.1925362e-01 -9.9475294e-01
 -1.9358219e-01  4.7559595e-01  8.9116472e-01  4.6323606e-01
 -3.0797249e-01 -4.4932383e-01 -1.0909388e+00  8.1772968e-02
 -7.0650178e-01 -1.7787162e+00 -1.6461248e+00  9.1892040e-01
 -8.4647099e-03 -1.6045110e+00 -1.9044815e+00  1.5789260e+00
  5.9300476e-01 -3.5710769e+00 -1.0165867e+00  9.8046893e-01
  2.2235104e-01 -8.0566955e-01 -1.6991808e-01 -3.8830853e-01
  7.7849984e-02  5.3041738e-01 -9.1890925e-01 -6.4488548e-01
  7.1462405e-01  6.3258320e-01 -1.6866699e+00 -6.6259730e-01
 -2.8468493e-01  2.9024300e-01 -1.7988659e-01 -6.9222969e-01
 -1.0780621e+00  1.3083383e+00 -9.0304416e-01 -1.2207555e+00
  7.6884663e-01 -2.1542776e-01 -2.9967251e-01  4.2465883e-01
 -4.9370790e-01 -9.0680850e-01  7.1846390e-01 -5.3995287e-01
  3.0655190e-02 -1.1928795e-01 -3.8792729e-01  6.2978342e-02
 -7.2802886e-02  1.3651001e-01 -2.7253330e-02 -4.1249937e-01
 -2.4148262e-01  2.3439747e-01 -4.4766602e-01 -7.6441541e-02
 -8.2763739e-02 -2.9459691e-01 -4.3494448e-02 -1.8647310e-01
  8.5512176e-02 -2.9962349e-01 -1.7000252e-01 -2.4977171e-01
 -2.2982158e-01  7.1778290e-02  2.1097668e-01  2.5612455e-02
  4.1621545e-01  2.6249251e-01 -5.9616622e-02 -1.2268641e-01
  4.1243520e-02 -1.0155126e-01  2.8043893e-01  8.8915065e-02
 -2.4849349e-01  7.4054103e-04 -1.0700182e-03  2.8087855e-03
  4.7997944e-02  1.2208557e-01 -7.5302802e-02  1.1808058e-01
 -3.3705283e-03 -1.7133847e-01  8.6728305e-02  6.7705743e-02
  8.9673378e-02 -1.4461290e-02 -1.4428884e-01  1.3217443e-01]",test
2,"[-2.7422763e+02  1.3718443e+02 -4.2237774e+01  1.4115617e+01
 -2.6065295e+00  1.8533165e+01 -1.2242152e+01 -3.8133359e-01
 -1.4238395e+01  7.6257401e+00 -2.0857019e+00  3.2331047e+00
 -8.8549910e+00 -6.8677610e-01 -7.8779902e+00  1.7640722e+00
 -6.1692467e+00 -8.1738262e+00 -2.2600021e+00  3.5859571e+00
  2.8831300e-01 -8.5555363e+00 -1.9038241e+00 -6.9053922e+00
  1.2272334e+00 -1.6375136e+00 -1.3083979e+00 -8.5430866e-01
  2.9990578e-01 -6.0283284e+00 -6.3031421e+00  1.3257049e-01
  3.6331267e+00 -4.0968332e+00  4.6344575e-01  1.5171009e+00
  9.2070282e-01 -9.4177073e-01  4.6726513e-01  1.7980902e+00
  4.9074835e-01  1.5783122e+00 -1.4979085e+00 -1.3604076e+00
 -8.9269876e-01 -3.6137238e+00 -9.4667989e-01  6.0981398e+00
 -4.1207275e+00 -5.6809745e+00  5.4202366e+00  4.8892989e+00
 -4.6075392e+00  5.1492506e-01  6.7677015e-01 -4.1613299e-01
  2.4983485e-01 -1.2369726e+00  1.2571102e+00 -8.2637805e-01
 -1.9751610e-01  2.1229976e-01 -5.4413831e-01  4.1529235e-01
  6.0514647e-01  1.5188766e+00 -5.3043032e-01 -3.9420240e+00
  4.1206431e+00  2.3380988e+00 -5.0197010e+00  1.2280725e+00
  2.0238669e+00 -1.1615119e+00 -4.1052389e-01 -6.4042407e-01
  6.0638714e-01 -6.0648549e-01 -7.6391214e-01  3.1961989e-01
  4.3564092e-02  1.6269504e-01 -5.5770612e-01 -1.5290478e-01
 -1.2812296e-01  8.9369112e-01 -1.3080715e+00  9.7234212e-03
  9.4161826e-01 -1.3882773e+00  1.0622245e+00 -7.4757683e-01
  2.4094824e-01 -6.4567074e-02  2.3120421e-01  4.8947317e-04
 -5.2202439e-01  1.2215694e+00 -2.1112161e+00  1.0761870e+00
 -2.8149858e-01 -9.4792938e-01  6.8188155e-01  3.0746159e-01
 -7.2950751e-02 -1.8122657e-01  4.2809349e-01 -4.7327557e-01
  8.5510716e-02 -7.9418525e-02  5.6129020e-01 -6.1906272e-01
  1.3869864e-01  2.1826248e-01  3.5180226e-01 -1.1945003e+00
  9.8064095e-01  3.4751371e-01 -8.5709286e-01  7.5958389e-01
 -8.2376295e-01  8.0322492e-01 -3.7662667e-01  1.5690090e-01
 -2.2952069e-01  5.7668275e-01 -3.3491197e-01 -1.6810085e-01]",test
3,"[-1.73132172e+02  1.54548676e+02 -1.89767361e+01  4.94126358e+01
  2.54717875e+00  1.84902954e+01 -9.47417164e+00  1.77106056e+01
 -1.29465599e+01  1.22565012e+01 -8.66315937e+00  5.40290546e+00
 -3.17543769e+00  1.50513613e+00  1.23847878e+00  3.96077132e+00
 -4.57091808e+00  3.87446690e+00  4.05688286e+00 -4.45840806e-01
 -1.86313438e+00  5.09949327e-01 -2.51209664e+00 -2.67141008e+00
 -1.07911313e+00 -2.31103182e+00  1.34317815e+00 -4.22170401e-01
  1.69687510e+00 -3.78953838e+00 -1.46654117e+00 -9.55073774e-01
  2.02393317e+00 -1.36568522e+00 -7.37241805e-01 -1.14239931e+00
 -1.06687680e-01 -1.34122396e+00 -7.59087801e-01 -7.20846891e-01
 -6.47859946e-02 -1.74488568e+00 -1.52656400e+00 -1.35546589e+00
 -2.63725019e+00 -2.34997940e+00 -6.98958039e-01  6.31235003e-01
  6.14802241e-01 -3.68623710e+00 -1.94728947e+00  2.69693279e+00
  9.93988335e-01 -1.31576288e+00 -1.39230859e+00 -1.13093637e-01
 -5.68877935e-01 -4.61114854e-01 -1.82224169e-01 -9.97978628e-01
 -5.35663903e-01  3.97183955e-01 -7.24726260e-01 -1.06885612e+00
 -2.66200244e-01  1.50803649e+00 -3.39594036e-01 -2.30964661e+00
  1.72643930e-01  1.48662066e+00 -1.32145810e+00 -8.04555595e-01
  1.26395404e-01  3.45246315e-01 -4.14412946e-01 -3.49992096e-01
 -1.87329620e-01 -2.72611380e-01 -1.34981588e-01 -4.29846287e-01
  3.00464802e-03 -1.52728707e-01 -1.81144148e-01 -6.16777837e-01
 -1.12671964e-01  8.67572948e-02 -4.16753441e-01 -3.72962415e-01
  3.32812279e-01 -2.01203689e-01 -5.37245154e-01 -1.25891909e-01
 -3.76565427e-01 -1.77698404e-01  8.36275890e-02 -2.38537669e-01
 -8.83129835e-02  1.55180115e-02 -5.24283290e-01 -3.74125153e-01
 -2.06307024e-02 -2.97335505e-01  1.74473852e-01  3.47104371e-01
  4.75000776e-02  2.93672472e-01 -8.28459039e-02 -1.88948274e-01
 -6.57966062e-02  1.01755708e-01  1.40787154e-01  1.18019484e-01
 -1.99363902e-01 -2.96314895e-01  5.00431120e-01 -3.97925526e-01
 -1.53841570e-01  4.82253253e-01 -3.89875621e-01  3.78598094e-01
 -2.28153542e-01 -2.98278749e-01  4.32608128e-01  1.76026952e-02
 -1.35947928e-01 -2.15475745e-02 -6.68017566e-02  6.24201670e-02]",test
4,"[-2.13183105e+02  1.46392792e+02 -1.62233562e+01  5.12438354e+01
  8.22075081e+00  1.65878296e+01 -8.10976887e+00  1.81002388e+01
 -1.44541054e+01  1.35779133e+01 -1.01633015e+01  1.01331806e+01
 -1.29175082e-01  3.12098694e+00 -4.14110661e-01  5.17942619e+00
 -1.75121498e+00  3.34122586e+00  4.26279974e+00  1.88535607e+00
 -2.71140027e+00  3.72958970e+00 -1.34493208e+00 -4.84058094e+00
  2.03055429e+00 -1.30716398e-01  2.15643930e+00 -2.14776468e+00
 -5.78629971e-01 -2.92038894e+00  1.24481702e+00  7.51987040e-01
  1.67307234e+00  4.31316286e-01 -2.09480748e-01 -1.32670772e+00
  9.67991710e-01 -5.98456919e-01  6.14887416e-01  5.59252977e-01
  6.58644021e-01 -1.78582311e+00 -1.94454992e+00 -5.54470837e-01
 -1.17681885e+00 -2.52836180e+00  7.40341902e-01  2.05834651e+00
 -2.36472750e+00 -4.05051374e+00 -1.78319335e+00  2.15505338e+00
 -7.93711960e-01 -1.77581334e+00 -1.14819920e+00 -1.37336504e+00
  3.97032320e-01  3.85204047e-01 -9.04714167e-01 -2.59607613e-01
  4.29188553e-03  2.40798444e-01 -7.87877858e-01 -1.63483131e+00
  4.27714586e-02  8.06363642e-01  3.78443480e-01 -2.62462497e+00
 -2.42970854e-01  1.93859029e+00 -8.81326437e-01 -1.44733822e+00
  6.11992240e-01  9.55360889e-01 -4.77493793e-01 -1.37885615e-01
 -5.06819665e-01 -6.90636486e-02 -1.60197511e-01  1.60690695e-01
 -8.42432752e-02 -1.18384600e-01  2.85926998e-01 -2.05461442e-01
 -3.85036439e-01 -5.73581159e-01  5.14922619e-01 -4.20416385e-01
 -4.03392345e-01  6.82602108e-01 -3.26442868e-01 -5.56576908e-01
  1.84473291e-01 -1.54462323e-01 -2.80680388e-01 -2.12979410e-02
  3.64562087e-02 -3.39333028e-01 -7.26334512e-01 -1.23446256e-01
 -2.80005097e-01 -1.48696542e-01  3.63411367e-01  6.05006851e-02
  4.97820288e-01 -9.84112918e-02  1.97105706e-01 -2.02752277e-01
 -2.59539485e-01  1.93572119e-01  1.09399855e-02  2.78257757e-01
 -4.47510749e-01 -2.82478482e-01  6.49034619e-01 -2.70821571e-01
 -4.45640802e-01  7.67782092e-01 -6.86430156e-01  5.00897288e-01
 -6.62068278e-02 -4.31932062e-01  4.28271502e-01  5.54566942e-02
  1.10656554e-02 -6.92886040e-02 -6.26897886e-02  1.04387119e-01]",test
5,"[-4.1532733e+02  1.9191560e+02  3.5415726e+01  1.0765731e+01
  2.2425131e+01  1.6393764e+01  7.8068733e+00  1.0885412e+01
  5.9436941e+00  3.2600160e+00  3.9625719e+00  2.2050347e+00
 -5.5964265e+00 -5.2983751e+00  4.0380917e-02 -1.2373096e+00
 -2.4636779e+00  1.2866513e+00  3.4701941e+00 -1.6336490e+00
 -2.7439115e+00  1.2033194e+00  2.1715641e-01 -1.8684952e+00
 -2.1856997e+00 -5.7851834e+00 -5.9266291e+00 -1.7326958e+00
  9.8801613e-01  1.0268151e+00 -4.8120165e+00 -4.6767640e+00
  1.2934982e+00 -6.2434810e-01 -1.7429056e+00  7.7322131e-01
 -1.2996125e+00 -2.3811512e+00  4.9413109e-01 -2.3255242e-01
 -2.6498828e+00 -2.4428613e+00 -1.1623632e+00 -4.4987193e-01
 -8.1431991e-01 -1.3326267e+00 -8.5712337e-01 -8.8365209e-01
 -9.4136506e-01 -7.9416370e-01 -2.0179305e+00 -1.6284195e+00
  4.3481076e-01  2.0336039e+00  1.7134084e+00  9.7869295e-01
 -4.8152175e-02 -1.1066569e+00 -4.6123031e-01 -1.1417500e+00
 -7.1715719e-01  5.6305230e-01 -3.4876934e-01 -1.2410259e+00
 -3.6988631e-01 -4.1331074e-01 -1.1234215e+00  6.1155844e-01
  3.9621040e-01 -1.5837681e+00 -1.0731765e+00  2.6612061e-01
 -3.1690575e-02 -7.7708602e-01 -4.9021015e-01 -9.3964912e-02
 -7.7493452e-02  1.0656148e-01  5.0937611e-01 -8.3149970e-02
 -4.1220987e-01 -5.9330832e-02 -1.1210693e-01  6.6139579e-02
 -1.0436986e-01 -4.9383497e-01 -1.6287212e-01  2.0834479e-01
 -3.4561878e-01 -3.1598383e-01 -7.0944831e-02 -8.1134118e-02
 -5.4922171e-02 -6.2874162e-01 -4.6771425e-01 -3.3960577e-02
  6.8879329e-02 -3.4061760e-01 -4.3894765e-01 -8.4024593e-02
 -2.9862919e-01 -2.2420262e-01  3.4192014e-01  4.0623197e-01
 -3.3322517e-02  2.3554850e-01 -7.4905850e-02 -3.9093709e-01
 -2.9478263e-02 -8.1028059e-02  7.2145998e-02  5.1908784e-02
 -1.1245952e-02  4.4168204e-02  3.4932788e-03 -1.7111391e-01
  7.5582355e-02  2.3052874e-01  4.5930777e-02  1.0352021e-03
 -2.5876749e-01 -5.3989701e-02  1.6157784e-01  4.4543277e-02
  9.2688054e-02  9.2737526e-02 -6.4133098e-03 -3.0254267e-02]",test
6,"[-4.09918213e+02  1.49323746e+02  3.18037720e+01  4.26580162e+01
  2.93727169e+01  2.32229767e+01  4.66606331e+00  8.78477764e+00
 -5.25904942e+00  3.04947019e+00 -8.48825693e-01  1.52108359e+00
  3.38724518e+00 -4.51953769e-01 -6.72058880e-01  2.81088066e+00
 -2.80166721e+00 -2.99525189e+00 -5.13147926e+00 -2.36404943e+00
 -9.16881561e-01 -3.57931077e-01 -2.84644485e+00 -6.23191786e+00
  6.44296169e-01 -2.58694720e+00 -2.18801546e+00 -1.68386662e+00
 -7.84685731e-01 -1.77856892e-01 -2.64176822e+00 -3.81507850e+00
 -2.22835112e+00 -2.69917226e+00 -2.58794951e+00 -2.69835472e-01
  1.46924126e+00 -7.33079076e-01 -1.22118342e+00  2.68776357e-01
 -1.63441992e+00 -1.11003649e+00  4.73752052e-01  1.85583338e-01
 -2.26897383e+00 -1.52729321e+00 -1.62252438e+00 -2.12291217e+00
 -3.99248660e-01 -2.03240037e-01 -1.81191349e+00 -1.78109515e+00
  4.66247857e-01 -4.51966636e-02  8.39130044e-01 -9.00251567e-02
 -1.48305297e+00 -1.16969921e-01 -4.09827769e-01 -2.46586651e-01
 -1.92377672e-01 -1.08764172e+00 -5.35163939e-01  8.01635861e-01
 -1.73249632e-01 -4.54607457e-01 -5.04815757e-01 -6.14852488e-01
  5.00900686e-01 -1.14107418e+00 -4.45092380e-01  5.92066765e-01
 -6.15231693e-01 -4.33516204e-01 -4.52033162e-01 -1.84087276e-01
  1.21681347e-01 -2.52773494e-01  3.22565213e-02 -3.71725053e-01
  1.43217454e-02  4.95264539e-03 -9.66035187e-01  4.71469432e-01
  8.01602677e-02 -7.62898028e-01 -2.34364733e-01  1.32108275e-02
 -9.20217112e-02 -7.51807630e-01  7.93186948e-02 -1.31691769e-01
 -5.23383021e-01  1.14772543e-01 -4.32370126e-01 -5.35389781e-02
 -5.88092394e-03 -1.61981270e-01 -3.45457405e-01 -1.49282575e-01
 -7.76841417e-02 -4.57508594e-01  4.76536155e-01  5.45895696e-02
  2.68286437e-01  2.39408255e-01 -2.52951473e-01 -1.65377393e-01
  1.59285665e-01  1.00364305e-01  5.76169528e-02  3.26535523e-01
 -2.77611166e-01 -3.46548446e-02  3.98884714e-02 -1.28833324e-01
 -8.43352228e-02  1.79059595e-01 -1.17567174e-01 -5.51223941e-02
 -7.98356980e-02 -1.05292253e-01  2.47714177e-01 -1.00195915e-01
 -1.85546372e-02  5.86165907e-03 -1.73517451e-01  1.35883048e-01]",test
7,"[-2.64657715e+02  1.50067230e+02 -1.90141411e+01  4.52934570e+01
 -1.43989878e+01  4.88936663e+00 -1.39227905e+01  8.93880558e+00
 -1.83075294e+01  2.30873799e+00 -1.33540440e+01  2.70151639e+00
 -8.18347263e+00  3.81679267e-01 -3.78278923e+00 -7.51069188e-01
 -5.74435759e+00  8.03698301e-01 -2.69172144e+00 -6.48820400e+00
 -3.52621508e+00 -2.50074387e+00 -7.11974478e+00 -5.24700546e+00
 -4.90158749e+00 -7.40435505e+00 -4.98379040e+00 -3.22461843e+00
 -1.50041223e+00 -3.97511077e+00  2.30492830e-01 -2.20835018e+00
 -1.22138524e+00  4.64785874e-01  3.40640378e+00  3.74060534e-02
  2.10182405e+00 -1.74314404e+00 -1.96079159e+00 -3.35984445e+00
 -2.29341674e+00 -2.04034162e+00 -1.51117635e+00  3.10075939e-01
 -1.66005123e+00 -9.93227243e-01 -2.89076996e+00 -5.85786700e-02
  2.71836257e+00 -2.63207865e+00 -4.94563723e+00 -1.31269372e+00
  4.30306435e-01  1.10849583e+00 -3.45337129e+00 -1.50291944e+00
  1.68188679e+00 -3.67202133e-01 -1.26003027e+00 -7.39405036e-01
  2.20180571e-01 -6.43745184e-01 -1.24174881e+00 -1.12852085e+00
  1.90960586e+00  1.25169742e+00 -2.23571324e+00 -2.12689829e+00
  2.17882586e+00  2.77236968e-01 -3.80904055e+00  3.65527838e-01
  1.32411337e+00 -1.19884744e-01 -4.79140341e-01 -9.28261817e-01
 -3.95870864e-01  4.54304129e-01 -2.28088990e-01 -7.43495643e-01
 -2.21639216e-01 -2.70190001e-01 -5.64754367e-01 -2.01350972e-01
  2.99986869e-01 -7.73657501e-01 -2.07984120e-01  3.25501531e-01
 -4.71305460e-01 -4.88207996e-01  4.82391678e-02  8.61470699e-02
 -6.40737653e-01 -5.37444413e-01  3.70915711e-01 -2.33714134e-02
 -4.61235464e-01 -5.61897278e-01 -1.14778638e-01 -5.71043968e-01
 -1.01049614e+00  5.05811870e-01  2.80426145e-01  8.79504532e-02
  2.01313719e-01  1.86601236e-01  7.28396848e-02 -4.57086861e-01
  2.54306316e-01 -2.21320763e-01  2.84464985e-01  4.17405069e-01
 -6.73036397e-01 -1.11497208e-01  5.09797752e-01 -3.05710703e-01
 -2.42955625e-01  2.15968221e-01 -1.63084581e-01  4.96705413e-01
 -3.70317623e-02 -4.93141204e-01  2.84689903e-01  1.51077226e-01
 -3.17870140e-01 -3.31771165e-01  1.87637329e-01  1.24997005e-01]",test
8,"[-3.75298370e+02  1.14662567e+02 -4.57988777e+01  2.40957108e+01
 -2.69823971e+01  7.42650652e+00 -2.00244827e+01  9.15943050e+00
 -1.12019529e+01  2.36786118e+01  1.41040611e+00  1.33620911e+01
  4.73431721e-02  8.13286495e+00  3.54666018e+00  7.72926617e+00
  7.20178795e+00  9.92960739e+00  4.47814798e+00 -4.04568720e+00
 -7.79670572e+00  5.33116579e+00  1.25295982e+01  1.10749722e+00
  5.39142036e+00  5.98612547e+00  2.87632346e-01  5.48186159e+00
  2.08761787e+00 -2.77705288e+00 -9.51581538e-01  3.43854904e+00
  9.23132896e+00 -1.91868460e+00  4.06401813e-01 -3.54380703e+00
 -4.54632282e+00 -9.56321597e-01  3.31504822e+00 -5.59075022e+00
 -1.44006646e+00  3.08501768e+00 -4.38191128e+00 -1.15041327e+00
  5.88029575e+00 -2.16174340e+00  5.64612210e-01 -4.49118519e+00
 -1.15820575e+00  9.72301292e+00 -5.61313152e+00 -2.40055680e+00
  4.02283287e+00  8.65500808e-01 -9.58617106e-02 -1.91258919e+00
  5.88190079e-01  4.78818804e-01 -2.11697921e-01  6.89399894e-03
 -1.72392130e-01  1.71409798e+00 -1.46761739e+00  5.10823965e-01
 -2.22473234e-01 -5.83378077e-01 -3.21537232e+00  3.39517403e+00
  5.25551736e-01 -3.83845782e+00  3.95975399e+00 -1.85818434e+00
 -3.83640647e-01 -6.10213935e-01 -5.44670336e-02 -1.11708216e-01
  1.61236644e-01  1.18468508e-01 -7.03545332e-01  1.82657969e+00
 -9.75393891e-01  2.75443923e-02 -3.31759393e-01  1.39097765e-01
 -1.26952916e-01 -4.93970066e-02 -7.95925483e-02 -3.12546879e-01
  5.20329595e-01 -8.90272498e-01  2.10485667e-01  7.21537232e-01
 -6.50525928e-01 -3.52275908e-01 -4.19098824e-01  5.43707609e-01
  2.54965752e-01 -7.12047458e-01  3.36738944e-01 -6.36264384e-01
  2.25121632e-01 -5.86595714e-01  1.01018704e-01  8.82032216e-01
  1.01072341e-01  1.23902842e-01  1.53922170e-01 -2.42608855e-03
 -3.44922811e-01  3.23967069e-01  3.33709270e-01 -2.90035605e-01
  3.13246310e-01 -7.03077316e-01  2.55506635e-01  3.00347716e-01
 -3.03798348e-01  4.63193595e-01 -2.46039137e-01  6.01370394e-01
 -1.23097646e+00  1.00703812e+00  1.61888599e-01 -7.99790144e-01
  5.20140827e-01  1.58423856e-01 -6.41174167e-02 -1.30511686e-01]",test
9,"[-1.75222549e+02  1.06329102e+02 -1.88040295e+01  5.44159660e+01
 -5.79214096e+00  4.12352829e+01 -5.99865055e+00  2.83524075e+01
 -1.10310764e+01  1.23375988e+01 -1.04117422e+01  2.28843098e+01
 -9.65018845e+00  5.04585838e+00 -1.13237963e+01  3.41296029e+00
 -3.97199333e-01  3.30495191e+00 -7.44075823e+00 -5.32790661e+00
 -9.71306133e+00 -2.20643139e+00  6.20170832e-01 -2.05994546e-01
 -2.43413877e+00 -3.84762836e+00 -1.24631560e+00 -3.38191724e+00
 -1.41704202e+00 -4.01050711e+00 -7.86029279e-01  2.51102686e-01
 -2.89262938e+00 -3.92499876e+00  2.07704282e+00 -4.92968178e+00
 -4.20268774e+00 -5.07771492e-01 -6.12008691e-01 -2.97165918e+00
  1.36378109e+00 -2.32739061e-01 -3.64902496e-01 -1.68304574e+00
 -6.11467004e-01 -2.94073910e-01 -1.31344998e+00  2.39055399e-02
  1.87620199e+00 -3.32089663e+00 -1.26306069e+00  2.45782107e-01
  8.61029983e-01 -2.23733139e+00  8.62546206e-01 -1.54081702e+00
 -1.07479416e-01 -2.98406221e-02 -5.47742784e-01 -1.41840947e+00
  1.19624925e+00  1.04382627e-01 -1.18647134e+00  1.23555169e-01
 -9.57733274e-01 -2.55513549e-01  6.20631456e-01 -5.90715528e-01
 -1.92250371e+00  1.68431163e+00 -1.23719478e+00 -4.36486721e-01
  3.52466047e-01 -6.39047325e-01 -1.00020841e-01  1.01542979e-01
 -1.24104239e-01 -1.12264730e-01 -4.95606780e-01  2.48209879e-01
 -8.28686535e-01 -1.62655115e-01 -4.19263840e-02 -1.78828165e-01
 -1.87136233e-01 -2.40351960e-01 -2.29966231e-02 -1.99420527e-01
 -2.18644664e-01  2.42395010e-02 -5.20452321e-01  4.92032021e-01
 -9.31097686e-01  2.59068698e-01 -3.49824667e-01  2.80291270e-02
 -1.87124372e-01 -1.93445727e-01 -3.92532349e-01 -2.81693578e-01
  9.73210260e-02 -4.94678229e-01  7.81855047e-01 -1.43171728e-01
  1.41816244e-01  5.88404357e-01 -3.90134364e-01  1.14342086e-01
 -3.53987738e-02 -7.05887156e-04  2.52157629e-01 -1.91050991e-01
  4.37710047e-01 -7.79426634e-01  5.28504431e-01 -2.76964545e-01
 -1.11157149e-01  1.78102121e-01  3.00848410e-02 -1.91829547e-01
  1.19947314e-01 -9.65901315e-02  1.69105530e-02 -3.44183631e-02
  2.28698373e-01 -2.30477735e-01  1.56647369e-01 -1.30348206e-01]",test
