X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y
-113.59882,121.57067,-19.162262,42.36394,-6.362266,18.621931,-13.699734,15.339802,-12.274304,10.970945,-8.32606,8.802088,-3.6699412,1
-207.52383,123.98514,8.94702,35.86715,2.9095943,21.519472,-8.556513,23.370676,-10.103608,11.899242,-5.558824,5.3778763,-2.2344916,1
-90.757164,140.44087,-29.084547,31.686693,-13.976547,25.753752,-13.664991,11.634442,-11.778322,9.714756,-13.125314,5.7912464,-8.901967,1
-199.57513,150.0861,5.663404,26.855278,1.770071,14.232647,-4.8278446,9.286853,-0.75612015,8.134435,-3.200026,6.0780816,-2.478445,1
-160.35417,126.20948,-35.581394,22.139256,-32.47355,10.850701,-23.35007,0.49324897,-11.796538,1.2035192,-13.084959,-2.8104992,-6.9344707,1
-177.80176,118.20316,-17.57063,30.760927,-21.742554,11.919263,-20.734299,3.1852882,-8.580818,-0.9328851,-11.772245,-2.4087636,-9.348446,1
-190.0688,130.27023,-36.362114,33.036217,11.093892,-0.59188193,-20.890266,0.27844235,-6.496385,-5.5127354,-7.847404,-3.1243007,-6.6028214,1
-179.3723,136.44833,-26.662588,39.96545,5.3108935,10.919133,-20.559534,8.503361,-11.349764,-3.470555,-8.415842,-6.957211,-3.5460427,1
-121.38979,122.49833,-14.734729,46.122135,-8.179258,20.172466,-19.171894,23.036839,-11.832729,21.154655,-6.7227974,6.989506,-12.730549,1
-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.1827,9.017152,-14.104312,4.271254,-6.0507803,3.7858355,0.22263557,1
-173.81046,137.17355,-23.72303,26.979677,-16.67521,4.1947303,-12.571788,5.851669,-2.8769505,-1.178381,-1.9682404,1.8011796,-3.0069504,1
-287.9319,124.01078,5.4674478,33.66307,1.091654,14.703699,-4.8811417,8.668892,0.7843316,6.57608,-4.875816,-3.1767612,-5.538258,1
-207.2383,132.82741,-15.45408,60.980972,0.71902615,12.4613285,1.1633853,-1.5329196,-17.895847,8.360363,-2.459651,-0.58463913,0.3722645,1
-209.80392,124.46476,10.309394,47.016357,6.478226,15.41512,-2.0159416,6.7262187,-21.543222,10.720836,-5.5328465,-2.1957276,-3.0491858,1
-305.66437,113.07102,12.107334,45.052197,17.734386,14.590071,4.147996,0.22631137,-7.021587,13.646477,8.91421,1.3037988,5.9549785,1
