X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,Y
-192.78069,131.63515,-19.196205,41.368576,-8.861008,18.407534,-16.09898,14.96546,-14.795916,10.622386,-9.66963,9.161484,-4.546164,6.2803774,-6.2398868,0.92397445,-2.24715,0.6028926,-2.24926,1.4965202,-4.7942624,-1.1131372,-4.3134775,-3.323091,1.1076603,1.4577556,-5.5942664,-3.4693177,1.0684904,2.0605166,5.061089,-3.432907,-0.041954968,-2.9123318,4.0933843,-1.7385654,4.7767034,-0.5331196,-2.822437,-1.2733488,1.9261092,0.018505218,-2.4579492,-0.4320281,-1.0612378,-0.8959227,-0.30193835,2.542394,0.06442103,-2.1259825,-0.9966129,1.5019454,1.1099112,-2.3062353,-0.11731272,0.9371024,-0.046260033,-1.2115358,-0.09762481,0.5091514,-0.67731154,-0.45551628,0.1633289,-0.85340893,-0.21099176,-0.17713113,1.1565627,-1.372319,-1.2629756,1.8691067,-0.67624557,-0.9436372,-0.6042233,0.43725196,0.19471914,-0.2590335,-1.0163678,-0.033359837,0.16529083,0.4218194,-0.75251657,-0.091272734,-0.20818509,0.16063468,-0.289548,0.15039694,-0.76334697,0.12106734,0.005588313,-0.49072304,0.21468335,-0.22498456,0.15930219,-0.4534342,0.2351407,-0.48704898,0.28331438,-0.5313482,-0.19145869,-0.15161344,-0.5426211,0.30271876,0.26522073,-0.058572438,0.5699934,0.13646935,-0.14488688,0.03852413,-0.16001514,0.18612958,-0.18000928,0.37695006,-0.24809918,-0.1827109,0.13889791,-0.06251707,0.025662806,-0.05966625,0.3807344,-0.26295683,-0.09269191,0.18956326,-0.17216405,0.22850095,0.15642369,-0.44327092,0.28833574,-0.15100719,blues
-286.1587,137.35593,10.342037,34.854607,0.097306184,21.1408,-10.285043,23.153545,-12.069944,10.967894,-6.891229,4.5548477,-3.799458,3.3728495,-7.974827,-0.05543262,-1.1175997,1.0396135,0.30619028,0.45262203,-5.0067067,-1.1470302,-2.3779483,-3.5502238,3.5459766,0.71907604,-1.170534,-1.1737922,3.0336034,-0.7364384,1.2676183,-2.5749753,-2.920483,-1.9289564,5.189987,1.6816775,2.9061208,-1.6105955,-2.5215588,-0.440026,1.4236146,-1.4392366,-1.1147531,-0.6634072,-1.6995189,-1.6485807,0.6044855,1.2661798,-1.2128751,-1.9782825,0.012025484,2.302658,0.44178703,-1.5464101,-1.3292325,0.24033639,-1.1422689,0.3270693,-1.0885264,0.15402639,-0.3257646,-0.53639215,-0.41447917,-0.6656359,0.18369491,0.17513162,0.32778892,-0.9657616,-0.18052723,0.95218736,-0.63377136,-0.8635913,0.38428664,-0.1478734,0.48598713,-0.577661,-0.6982825,0.3864869,-0.060366284,-0.30728504,-0.16712937,-0.006237759,-0.33792064,0.30988836,-0.2909027,0.13635679,-0.31006703,-0.31530342,0.056257986,-0.11404247,0.3103736,-0.28548735,-0.1485903,-0.16840012,-0.20294857,0.15084673,-0.20011795,-0.42770278,-0.107572906,-0.4218561,-0.41028813,0.20884201,0.1805436,-0.13007297,0.54670537,0.37179095,-0.24471548,0.14992109,-0.13119061,-0.12731987,0.39448443,0.0912864,-0.22603664,0.1051239,0.11309257,-0.07567405,0.14317267,-0.118395284,0.11899826,0.11723043,-0.2890385,0.009664212,0.12531535,-0.006001935,0.022297274,-0.14498687,-0.0013297126,0.09488328,blues
-170.66913,152.41127,-28.28508,30.006277,-14.648921,26.618347,-13.079424,12.646189,-10.897967,10.219459,-13.055719,6.8715544,-8.050954,0.6985155,-7.2520123,4.3069863,-6.85554,-1.0760275,-3.7820754,-1.2868549,-2.58897,1.3722547,-0.68928695,-3.6164405,-3.6104763,-6.4590855,-0.22233437,0.6793302,2.4741845,-1.5524982,-0.77457935,-4.0270433,-0.28910235,0.13722602,0.43008476,-2.7991817,-2.57586,-3.8474395,-2.4059682,-0.67244893,3.0456111,0.6897736,-1.9242598,-1.684079,2.0039349,-0.62844384,-3.128561,-2.5225008,2.3923416,-0.4609777,-3.784654,-1.6459223,1.6943116,1.0093374,-1.0268353,-0.7997795,-0.19427559,0.43420193,-0.038741227,-0.26674512,-0.9043745,-0.43308583,-0.09027404,-0.7448518,0.065351754,1.1890224,-1.5836824,-1.5159376,1.5526723,0.20204534,-2.3123744,0.4994774,0.74596816,-0.90995127,0.036223523,-0.26954925,-0.6436674,0.6593954,0.0028471272,-0.47101948,-0.23905507,0.1759907,-0.6263103,-0.2731773,-0.12929323,-0.11176168,0.16419229,-0.54392123,-0.07064619,0.16481744,-0.5722352,0.14585568,-0.48423177,-0.24596621,0.40736288,-0.6361448,-0.014038924,-0.07290736,-0.6077486,-0.097776785,-0.022652477,-0.39571902,0.2836266,0.56887805,0.011384477,0.26228344,-0.26459,0.12550385,-0.16615804,-0.13776007,0.41626787,-0.101519,0.14962478,-0.47795257,0.2904842,0.085391104,-0.21361695,0.15925042,-0.24701102,0.18976253,-0.012716417,-0.3551429,0.1571897,0.18807864,-0.0012660295,-0.056566153,-0.08849104,0.03009053,blues
-279.04367,165.16515,9.746799,30.629272,2.1866498,18.546467,-2.591806,13.632607,1.4647691,11.408909,-2.1124926,8.481954,-1.0206304,1.995806,-0.7725275,3.5116863,-1.3502225,2.942166,1.369768,-0.8174669,1.4189415,2.412064,0.26802316,-2.4206228,-1.6751132,-4.4019403,-0.8357875,-1.1603292,1.4685937,-2.0761874,-0.92157555,-2.245793,-0.60771376,-1.871292,-0.5604664,-2.5911987,-2.4340918,-2.9485598,-3.26084,0.52761614,2.2952414,-1.4255369,-1.866925,-0.021486405,-0.9028296,-0.8863721,-1.3890659,0.5568226,0.4232312,-1.7352154,-1.6645238,-0.48563376,0.217027,-0.03962853,-0.95311785,-0.8384012,-1.2481132,-0.23092507,0.26424053,-0.24627969,-0.54867756,-0.7936717,0.11177576,-0.12955986,0.061839335,-0.22949721,-1.2564267,0.90807265,0.5161252,-1.2465724,-0.46098688,0.44764113,-0.53039914,-0.15221351,-0.0406728,-0.9308888,-0.049655452,0.3772166,-0.66973823,-0.17676732,0.03343921,-0.16010258,-0.38219517,-0.31956744,0.27732655,-0.30638605,-0.27502128,-0.33470717,-0.14126901,-0.07236868,-0.3531716,-0.35336265,-0.04263177,-0.53305566,-0.04851334,-0.01844782,-0.21463436,-0.07860367,-0.6024596,-0.040951923,-0.2846604,-0.233632,0.49426052,0.046694595,0.27915177,0.17094642,-0.039060388,-0.048661206,-0.2936653,0.2883258,0.05413669,-0.08945327,0.099724226,0.08252462,-0.2076958,0.03418951,0.08348469,-0.023297427,0.07192444,-0.08002438,0.024920871,-0.18505992,0.1630477,0.19382696,-0.3158498,0.09290485,0.046665028,-0.19088483,blues
-242.35948,141.86932,-31.63358,19.19853,-34.411945,9.686827,-24.083439,1.4862996,-11.583765,2.6793544,-12.92673,-0.59665704,-6.123065,-6.27406,-9.483714,-3.9931407,-4.0475917,0.8474669,-2.6498735,-9.126337,-3.5754774,0.9272451,1.1386302,-2.7069697,3.5422912,0.508624,-0.4444972,-3.5015295,0.7929577,0.77407587,8.539493,3.4175284,-2.713214,-4.192314,-3.9286234,-1.2189138,1.295802,1.0736004,-3.8352494,-3.3662465,2.0888863,1.5602134,-0.50180614,-2.560834,-3.2463608,-0.4534326,1.271151,1.9370506,-2.5953376,-3.4279664,2.530105,1.2395796,-3.6106133,-2.4642687,-1.4215878,1.1497579,-0.50857633,-1.9868098,0.5977968,0.8105715,0.15972528,-1.5049112,-0.38103843,0.8011719,-1.0924073,0.6538713,-1.3081559,0.12542762,0.40393868,-2.55895,1.0657389,0.14014095,-0.7121815,-0.018525833,0.05746839,0.10985611,-0.80621654,-0.23832342,0.25722262,0.24224743,-0.8126913,-0.050259225,0.11342731,-0.39207515,0.56675404,-0.15384436,-0.5871848,-0.14832392,-0.24531233,-0.31706125,0.3475188,-0.28928426,-0.32098237,0.08457885,-0.004676474,-0.26616272,-0.3124388,0.28853565,-0.63231343,-0.3140655,0.183427,-0.3694826,0.14406778,0.2895209,0.21855,0.2726307,-0.28157476,-0.19570991,0.24534363,-0.07198037,0.102357335,0.16154456,-0.09883914,-0.04843076,-0.4011595,0.33406192,0.11356193,-0.21612048,0.17272161,-0.1393051,0.08272172,-0.30134773,0.121369705,-0.0200286,0.056649424,0.13492385,-0.32066968,0.24561484,blues
-250.99098,138.54822,-14.7974615,29.536198,-24.287748,11.463636,-22.397604,3.6046243,-10.226416,-1.8716526,-13.413383,-2.5008173,-10.284688,-9.501135,-4.273299,-6.2426753,-3.4697044,-3.791518,-3.4419394,-8.186021,-1.5622572,0.23994811,-1.4628761,-2.0179589,0.078429,2.1742926,4.217367,3.5845265,3.74992,0.45548767,2.065804,-2.5548794,-5.210359,-2.1498282,-1.1442274,1.5599756,1.0224817,-2.3404608,-3.4438853,-2.9998662,0.026760405,0.554229,-0.7922061,-0.77384675,-1.5688888,-0.65126294,0.2735422,2.378174,1.687179,-2.2958648,-1.3053759,-0.22576638,0.09905553,0.090395615,-0.90514696,-0.6487683,-0.019522611,-0.6578487,0.30564675,-0.09679681,-1.3537471,-0.03699068,1.3543826,-1.4159352,-1.9902608,1.5764304,0.24308965,-0.66339165,-0.46302798,0.56305736,-0.061081972,-0.9507416,0.08211812,0.3498355,-0.19894058,-0.8844193,0.06933493,-0.7219893,-0.37293047,1.0865921,-0.54095334,-0.84116584,0.20764345,-0.20159298,-0.18417835,0.3006759,0.2710128,-0.8066327,-0.13990648,0.5711376,-0.8338134,-0.02386151,0.09442293,0.048645537,-0.6773043,0.20857653,-0.18875606,-1.0382994,0.7144754,-0.7138061,-0.8234466,0.23495656,0.31732267,0.26694545,0.41990748,-0.022423092,0.1227187,0.1529359,-0.18165557,0.099255696,0.014967875,0.15888208,0.039987467,-0.16772467,-0.29895473,0.3096718,-0.007440707,0.085696794,0.38600773,-0.6088101,0.30066818,0.107643336,-0.45230278,0.49389392,0.045598242,-0.2231637,0.3571242,-0.395491,blues
-263.2837,156.66673,-28.006975,31.4426,10.312503,-0.6975943,-21.147715,0.10479722,-6.7473817,-6.1143274,-8.6258135,-4.293022,-7.9072256,-9.987183,-6.509938,-9.701628,-11.216703,-7.083573,-2.882453,-4.52699,-4.552383,-5.198181,-4.300199,-4.1089635,-2.788541,-2.4488282,0.79107255,1.9311879,1.29176,-2.6351628,-2.0212588,1.465602,1.4641274,0.82979,-1.5830616,-3.782636,-1.3187834,-0.4462968,1.798507,2.8009305,1.582419,-0.26326472,-1.9166539,-1.6876608,-2.0347147,-0.62150115,-0.86182356,-0.19858935,-0.15608014,-1.7342247,-0.13633758,1.6372844,-0.5855042,-0.96947414,-0.20255826,-0.825545,-1.2233585,0.6912543,-0.1174795,-1.7139355,0.26943952,0.14279808,-0.36264706,-0.879342,-1.2412449,-0.75243807,1.1593673,0.10449364,-2.1746454,0.22230496,1.3740338,-0.9135246,-0.70833683,0.7898986,-0.10260671,-0.10221904,0.4361611,-0.8993425,-0.9948219,-0.09937231,-0.74602115,-0.0701715,0.0449716,-0.27737677,-0.10166118,-0.43329164,0.1052269,0.020824013,-0.4993298,-0.13602526,0.17560449,-0.48913282,-0.3277691,-0.18152584,-0.071118996,0.2352495,-0.44417852,-0.15809232,-0.3395072,-0.7114919,0.21986945,-0.018988103,-0.067078345,0.43593687,0.27527076,0.21244952,-0.060370073,-0.1597971,-0.18534529,0.023334961,0.16405475,-0.006873828,-0.16414751,-0.16306728,0.0029162772,-0.025281407,0.1306179,0.22970113,-0.100719914,-0.033572346,0.22209641,-0.27651745,0.06748842,0.22102955,-0.078173295,0.19071975,-0.14709294,-0.15148474,blues
-253.84334,156.42197,-21.756525,39.911545,5.5267596,11.475191,-20.102024,8.916345,-11.749061,-4.160031,-8.204489,-6.002476,-3.1366167,-7.3947716,-7.854972,-7.29369,-9.494754,-9.095881,-1.8256347,-4.6605577,-8.530088,-8.951395,-0.5060563,-0.116137534,-2.2457924,0.28766268,-2.3657222,-2.9522784,-1.047683,0.5676536,3.3299088,1.3528585,-0.83234787,-2.7195275,-3.3478036,-2.173844,1.0893027,-1.5233101,-3.9460776,-2.6184983,0.33095136,0.30942506,-0.32335368,-2.4248352,-2.6549997,-0.5667029,0.38716465,0.75934297,0.2049862,-1.9234514,-2.4250247,1.8879604,0.0069787335,-3.8643076,-1.8125134,1.2199873,0.1085389,-0.88323694,-0.20034745,0.80341357,0.13495241,-1.5220253,0.14427447,0.2603511,-1.0075477,-1.533502,0.22109836,1.5786654,-1.39103,-1.4887398,0.7134876,0.5705697,-1.4748069,-0.573782,1.2795265,-0.4470041,-0.8169054,0.411511,-0.09755164,-0.1277094,-0.13602553,0.09460025,-0.326457,-0.45873278,0.5562564,-0.31697378,-0.3069647,-0.10769625,-0.19889443,-0.4153186,0.017112743,0.15274324,-0.6358864,0.19411047,0.1347146,-0.31572992,0.028340796,0.009858842,-0.6615064,-0.20382796,0.13363825,-0.14610758,0.14567742,0.10373923,0.2510809,0.36985087,-0.045759972,-0.4731097,0.19419956,0.25889114,-0.22801654,0.12785578,0.097113036,-0.11335734,-0.0018893874,-0.023631237,0.108486556,0.14794688,-0.22940876,-0.07428522,0.3425824,-0.24694942,-0.19359265,0.25862312,0.10472137,-0.19950518,-0.15879859,0.27513736,blues
-200.1887,131.15901,-10.549586,47.75612,-5.824795,21.726702,-17.61113,24.680384,-9.171525,22.909433,-5.4045835,7.763333,-10.589137,6.777627,-2.8818483,-0.7935165,-5.711267,4.368124,5.132461,-2.0543709,-3.013613,1.4040772,-1.1950626,-10.346688,-5.5315466,-0.21053915,11.48258,3.72024,-0.42181817,0.3306689,0.8757952,-0.96220464,-2.4498527,-1.1089107,3.8815024,-2.751793,-2.9580383,-3.6813471,1.6489578,1.5227852,-0.46932995,-4.2949247,-2.0425425,1.0122728,0.20277177,-3.8619912,-3.1451547,-0.76214564,1.3909345,-3.2645319,-2.6615,0.9894236,0.2938107,1.4250576,-3.166811,-0.13023435,1.4208784,-0.8337034,-1.8653677,-0.7616966,0.91790164,-0.24491298,-1.7641398,1.3318634,0.51463264,-1.9601058,-0.8466176,2.3256023,-1.1248139,-1.695621,1.1308968,-0.3485663,-0.5584891,-0.16903338,1.0042496,-0.95935106,-0.26432973,0.9581045,-0.13291487,-1.1015664,0.1552847,-0.045832038,-0.42749888,-0.34372965,0.07297783,0.04952433,-0.08579389,-0.08558847,-0.47372192,-0.25146946,-0.12221352,0.0753556,-0.65135056,-0.030819526,-0.15699373,-0.29893216,-0.35641113,0.12345116,-0.4812706,-0.09196176,-0.6353211,0.31159413,-0.071211174,0.24336354,0.25063476,-0.21870005,0.32084742,-0.010817764,-0.566908,0.7035818,0.020085782,-0.6233853,0.69621295,-0.3706665,-0.06927911,-0.19389902,0.61534023,-0.8710202,0.8044201,-0.11431103,-0.30428946,0.07140152,0.03967717,0.6607631,-0.8526191,0.3707109,-0.18983275,0.028644633,blues
-285.8721,131.53635,-8.794692,37.75051,-26.326397,11.206234,-14.019793,8.711774,-17.667767,4.473191,-8.352171,4.5267015,-2.148746,-5.1612773,-2.9240189,-1.277465,-3.0555856,-1.9977959,2.2143354,-4.2100596,1.1646873,2.225377,-1.0751156,1.6671106,5.0134926,-0.18569793,4.971659,-0.8378478,-1.0071328,-2.824261,-1.0918858,-3.2624044,-0.1937051,0.6647197,2.4075916,2.6277225,0.7950106,-1.8423824,-2.7911444,-0.34737387,0.00033566976,-0.75468713,-1.846175,0.95801556,-0.027818378,-0.47808766,0.40570432,1.8039345,-0.26655433,-1.9742633,-1.4985489,1.4476061,-0.60904354,-0.3623096,0.59558517,-0.296069,-1.6311442,-0.0014567482,-0.30743757,-0.9623176,0.22646485,-0.583347,0.2407406,0.2632791,0.1805861,0.7576701,-0.14504348,-1.1471405,0.44539997,0.22165816,-0.70998156,-0.30464393,0.5683164,-0.41127008,0.6576657,0.022986038,-0.53904647,0.3647042,-0.07680309,-0.36261216,0.26206693,0.1525278,-0.28632197,0.07950479,0.20141116,-0.12040925,-0.09881247,0.0692519,-0.19111763,-0.12041711,0.06727182,0.095955536,-0.44377637,-0.1314321,0.09990687,-0.08723117,-0.31157374,0.21540177,-0.508503,-0.46362862,-0.04086453,-0.042745072,0.21141176,0.4830419,0.41550073,0.10025721,0.04971268,0.025671951,-0.13306738,0.030263156,0.13919063,-0.09346123,0.16217022,-0.09295316,-0.053368174,0.03053121,0.12722822,-0.08249931,0.09013756,0.094233476,-0.123750694,-0.045045186,0.072586134,-0.012546343,-0.0053208033,-0.23497525,-0.045206927,-0.04069772,blues
