X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,Y
53.588802,20.781137,18.339064,14.990047,15.973549,12.1992035,10.864,10.994809,11.54685,10.168021,9.71534,9.600923,9.127884,8.830958,9.409559,9.840206,8.54968,9.322042,10.04524,8.839875,8.127441,7.86921,8.16494,8.802795,9.154921,8.370821,8.327539,8.197302,8.532601,9.906037,8.701862,8.832322,7.8614287,7.8535237,7.5012245,7.0945177,6.56259,6.8097825,7.0396857,6.8755665,6.1811085,5.459637,5.3813677,4.9095993,5.178752,4.737837,5.083727,4.527342,4.9890223,4.6396027,4.5915236,4.373754,4.2250323,4.0244813,4.150566,3.798429,3.7283866,4.0580764,3.4550533,3.7840123,3.3199048,3.4977977,3.365222,3.2358434,3.310674,3.107144,3.1154726,3.0445735,2.8553157,2.8592925,2.7863283,2.7694292,2.6595926,2.5401614,2.5847707,2.4422374,2.4952555,2.5284507,2.451936,2.414112,2.3410378,2.3377135,2.3301868,2.2343023,2.2695584,2.1226828,2.1227918,2.0329592,1.9225215,1.9716933,1.8805741,1.8135306,1.8337107,1.9551554,1.7916662,1.8007095,1.818184,1.7392399,1.659421,1.5930448,1.590526,1.5843018,1.6285722,1.6196655,1.5579516,1.5228411,1.5097475,1.5027566,1.45057,1.3732911,1.3995637,1.4186066,1.3983192,1.400277,1.3848296,1.3740133,1.340665,1.2904218,1.3408308,1.368899,1.300427,1.2948937,1.3047686,1.3444424,1.3009349,1.3210971,1.3069742,1.3220592,blues
93.20983,26.917122,27.420103,18.810535,19.500284,14.535556,17.251722,13.447722,15.098349,12.322514,12.231699,11.41221,10.223095,10.715438,9.315177,9.98873,9.773179,9.237281,9.274643,8.407879,8.125831,8.396134,7.338033,9.845023,8.536414,8.545036,8.436164,9.087965,8.498123,9.563175,8.219557,7.2466273,7.389684,7.614735,7.903238,7.2686377,6.6359763,6.933049,6.653273,6.287104,6.26083,5.7827725,5.717727,5.3914275,5.16642,4.9875474,4.8998914,4.925567,4.9176536,4.942744,4.505422,5.1159706,4.347274,3.994716,4.140725,4.2310243,3.8898282,4.1685357,4.2747464,3.6892571,4.130907,3.586462,3.557734,3.5540857,3.3549416,3.4599004,3.2722242,3.7002785,2.9533687,2.966952,3.0521076,2.8392334,2.851837,2.8603084,2.6503434,2.5297704,2.6771207,2.577279,2.4803813,2.490108,2.3195114,2.260354,2.2517548,2.1621144,2.1455696,2.0262966,2.038641,1.9781201,1.9438415,1.9735502,1.9523934,1.9663676,1.8568078,1.8363545,1.8005242,1.787108,1.6985215,1.6931467,1.6875042,1.7082975,1.6240109,1.6090959,1.6368773,1.5701227,1.6666843,1.5571697,1.5533352,1.5576944,1.495512,1.4113425,1.4228939,1.4531548,1.4595845,1.3768553,1.4091154,1.3356459,1.3940464,1.3592216,1.310509,1.2737756,1.2929937,1.2948159,1.3225428,1.2687792,1.2760899,1.2939429,1.3002534,1.3294407,blues
63.185863,26.5814,24.094196,15.408555,15.7341385,11.682434,13.503955,13.044491,10.888493,10.681508,10.559001,10.006059,9.812174,10.188039,8.943511,8.5984745,9.348152,9.803788,9.049291,8.07862,8.880266,9.7038355,8.629833,8.636772,9.549825,7.74004,8.318191,8.3347,8.643497,8.048777,7.735226,8.525433,7.4380937,6.8497996,7.306445,7.093718,6.658273,6.449867,6.397533,6.631956,6.663462,6.7368374,6.541336,5.507576,5.431086,5.0475345,5.2604704,5.241499,4.914047,4.6852655,4.9353323,4.472075,4.4668627,4.4684944,4.1683307,4.4792767,3.878681,4.5602245,4.05867,4.626535,4.1865172,3.768626,3.663063,3.4106224,3.3065324,3.691918,3.4869564,3.4106774,3.3978486,3.0838737,3.3460367,3.1121235,2.6992605,2.9225087,2.7227278,2.7517445,2.8270764,3.0157604,2.8125606,2.6187315,2.504215,2.4513543,2.4531956,2.5196614,2.4238026,2.3448424,2.337714,2.263642,2.2282207,2.1618478,2.2371101,2.243333,1.9739693,1.9327236,2.1133668,1.9192585,1.8809571,1.8914618,1.7523746,1.7712271,1.7322187,1.8036293,1.8999152,1.7587923,1.5958664,1.6215056,1.7297987,1.6238371,1.5940272,1.5009536,1.5768625,1.4506241,1.4456308,1.4465072,1.463397,1.44294,1.4046293,1.3963894,1.3766896,1.4214703,1.3677858,1.4160196,1.411659,1.4235635,1.4219676,1.4221562,1.418138,1.3834112,blues
76.81793,24.451838,18.463947,15.050687,18.7941,13.420644,15.061699,11.493181,11.702755,11.10004,12.96945,9.467904,9.807206,10.913947,9.883594,9.444209,10.157694,7.8399963,8.227023,7.4791293,8.016686,7.4721394,7.154865,6.8216352,7.073815,7.1527553,7.134372,6.646168,6.4940524,6.255208,7.435717,6.9155674,5.764707,5.929059,6.0185766,5.283698,5.416057,5.279901,5.9587607,5.2690873,6.06232,5.0752697,4.939975,4.6031275,5.0905356,4.6127267,4.7612205,4.3191013,4.304991,4.1174326,3.8773463,4.04296,4.1071486,3.6635284,3.8281336,3.7971618,3.6470666,3.4240434,3.5986266,3.404054,3.2525728,3.2446856,3.1699245,3.0243683,3.0258355,2.9054875,2.8623326,2.7263737,2.832039,2.7937136,2.6317065,2.4857132,2.551611,2.336805,2.4405608,2.4157658,2.2175076,2.391779,2.3425114,2.172775,2.1145976,2.2181895,2.1304266,2.089919,2.026727,2.0523598,1.8817385,1.9518374,1.8747199,1.8180515,1.7997772,1.8381544,1.7280211,1.7117689,1.7089368,1.6099627,1.6173016,1.6161851,1.5989218,1.5635133,1.575972,1.4993956,1.576341,1.5015533,1.4854934,1.4274722,1.445113,1.3559049,1.417296,1.2861224,1.3234906,1.328031,1.2987747,1.278075,1.2783725,1.233883,1.2552161,1.2248939,1.2269112,1.2033591,1.2067587,1.2357087,1.2278643,1.1686815,1.1702701,1.1652253,1.2230941,1.3081378,blues
75.47734,32.255756,20.219563,16.703598,20.293266,13.538124,11.5259285,13.76059,13.265814,11.810379,11.1173,11.473633,11.332629,11.2870035,11.010669,11.438772,10.794389,9.478527,9.917115,9.619821,10.743024,9.726927,9.083339,8.594625,10.194581,10.330401,9.309333,7.8300695,8.491299,9.987244,10.105318,9.188536,7.2127466,7.3979545,6.636818,6.5907507,6.2241673,7.2604456,7.99283,7.341138,6.523414,6.6375937,6.2233415,5.688978,5.7188263,4.8941817,5.2381024,5.5270147,6.010941,6.7961326,5.661627,4.8815503,4.8069186,5.0494676,4.6149306,4.897576,4.262083,4.652999,4.841854,4.86202,3.7388988,3.7506404,3.8824146,3.5599802,3.189626,3.570226,3.5214162,3.3215194,3.6125953,4.0564027,3.5553772,3.119197,2.9042053,2.7749026,2.7162962,2.6394813,2.693877,2.8504775,2.846384,2.8500113,2.626227,2.6379945,2.5693903,2.4424436,2.4619374,2.6515727,2.5698647,2.246951,2.1446826,2.153129,2.2483034,2.0212073,1.9263109,1.9014136,1.92208,1.8935009,1.8180692,1.8354143,1.781417,1.8475101,1.8391727,1.9168301,1.7537767,1.832996,1.6813897,1.5443115,1.5793366,1.6076628,1.5564132,1.4430346,1.45734,1.4622427,1.5267599,1.5662649,1.4156433,1.4302518,1.4184899,1.3991115,1.4017662,1.3816783,1.299894,1.3522273,1.4576325,1.3463858,1.3069373,1.3677497,1.382388,1.3817819,blues
90.8351,56.01098,27.532566,25.823294,22.96298,17.11817,15.103136,13.394565,14.485652,11.974382,11.04629,10.73687,10.095263,9.110993,9.864427,10.073723,10.027317,7.793224,7.6924324,8.213676,8.727237,8.754811,9.235079,11.304371,13.091301,11.35791,12.658388,10.40338,9.211752,9.567193,9.14263,7.7553144,7.7305746,7.742969,6.223887,7.3853536,6.382481,6.2813582,6.824294,6.763529,5.696323,5.602108,5.3822327,5.621439,5.4072776,5.6578574,5.299785,6.2628984,5.527848,4.734101,4.917002,4.5632443,4.7994246,5.3293443,4.8737974,4.7147183,4.6113276,4.510457,3.938702,4.387327,3.9654562,4.6663747,3.8094828,4.8958583,3.4105232,3.916031,3.4781337,3.3024468,3.2439542,3.0229046,2.995357,3.024622,3.6010218,3.0618422,3.320684,2.8370044,2.777143,2.9216127,2.439958,2.8677716,2.6478002,2.567915,2.8997505,2.7288494,2.606225,2.562685,2.3138943,2.4079306,2.094995,2.190296,2.2505407,2.1108263,2.153138,2.296593,2.0826511,2.113029,1.9933226,1.8416857,2.0553036,1.9275111,1.9352038,1.9005959,1.737174,1.854315,1.8877177,1.559241,1.4507955,1.6045866,1.7020326,1.617491,1.5305907,1.7058774,1.5979306,1.700693,1.7057801,1.5245656,1.4826722,1.4529366,1.4662756,1.4935782,1.4133317,1.4651599,1.8985204,1.6594441,1.4988484,1.6866603,1.6469123,1.4495046,blues
106.093025,45.013798,40.42247,25.042933,34.472435,17.066414,14.5959425,11.931135,14.3104,13.935868,11.833072,9.920419,10.683743,9.566892,9.986481,9.840461,8.966658,8.0801525,8.600142,10.023028,10.633102,11.429861,11.010752,9.464602,8.864518,9.789194,10.94454,10.408976,10.318149,11.122169,9.472345,8.670908,8.092705,7.7741876,7.1318684,6.7824264,6.649534,6.674345,7.12245,7.0117774,6.5723314,5.980469,5.891947,5.8246574,5.5735064,5.780258,5.732435,5.3087564,5.2528434,5.623787,4.58969,4.665253,4.3558226,4.727944,4.995437,4.588933,4.5740952,4.4812465,3.6392446,4.176228,3.5285158,3.754823,4.0592914,3.7104905,4.1956944,3.7471635,3.412265,3.3264942,3.4605677,2.5798924,3.200899,3.0524929,2.807398,3.145064,3.0236566,2.6947331,3.0603673,2.743259,2.4367867,2.376273,2.400012,2.3846185,2.4055784,2.5087464,2.4759889,2.2015479,2.2034562,2.129982,2.0377355,1.9785277,1.9863096,2.0096433,1.9986312,2.084002,1.9652362,1.9178511,1.8753089,1.6420457,1.723402,1.7588631,1.8569393,1.7662294,1.715601,1.777169,1.7742428,1.5889869,1.4462678,1.4326444,1.3456008,1.4666468,1.402758,1.5063126,1.5475391,1.6870109,1.6096526,1.3895289,1.3392092,1.2919226,1.2523038,1.2570713,1.338808,1.4272807,1.4503344,1.4933567,1.5018798,1.4285871,1.3508013,1.3382301,blues
87.39819,38.65264,27.432087,21.95589,27.745577,13.776995,14.792658,14.256779,14.694762,15.806973,14.283246,10.3492365,11.512196,9.623287,10.914366,10.001647,9.370591,9.126274,9.307581,8.268845,8.48732,9.344321,8.117429,10.646223,8.396866,6.9398484,7.148488,6.824751,7.7773933,8.898831,8.989362,7.8266115,7.746279,7.807238,7.379077,6.701998,5.992544,5.814967,6.207321,6.386242,5.688668,5.5371485,5.6779623,5.823235,5.3811564,5.1097264,4.6761894,5.2041736,4.490602,5.274766,4.87429,4.9539833,4.290349,5.3777575,4.285382,4.5969224,3.8798766,4.0494866,3.8783505,3.908711,3.33433,3.9239573,3.2354655,3.3961575,3.333977,3.275296,3.0859299,3.0028367,2.9384398,3.0765638,2.8130088,2.8964384,3.0541563,2.5882719,3.192885,2.636769,2.6734893,2.5995157,2.3790634,2.363727,2.2137942,2.2914057,2.2424924,2.2811866,2.3457623,2.0324688,2.1551387,1.9890566,2.0213284,1.9524721,1.8995416,2.024334,2.0401344,2.0607722,1.8910269,1.9042792,1.7578229,1.613865,1.792128,1.6780543,1.5617528,1.6812996,1.61557,1.5500041,1.6648737,1.564139,1.5037559,1.5376455,1.4446764,1.3949139,1.5730397,1.4589983,1.4103831,1.5112404,1.4398981,1.2973962,1.2905442,1.2951033,1.3181382,1.3083563,1.3322946,1.2596543,1.3844097,1.3410138,1.3539708,1.4015977,1.3929268,1.4355643,blues
51.83081,24.375277,22.03104,18.200941,16.26536,13.49772,10.998818,12.059177,9.636078,10.929485,9.999862,9.733461,9.832839,9.004126,8.633055,9.139075,7.8889046,8.117681,7.9876223,8.277803,6.991561,7.140282,7.380337,8.30628,7.986659,6.940206,9.82916,8.146576,7.3521876,7.42489,8.397668,8.24156,7.2256937,6.7472734,6.856204,5.620793,6.189774,5.2217646,5.980001,5.8695636,5.121068,5.301883,4.8071866,4.9670916,4.5586147,4.352654,4.7216253,4.141281,4.133799,4.1414495,4.268564,3.9440908,4.126755,4.0817003,4.191995,3.6468174,4.395652,3.4502215,4.1335793,3.3869607,3.7621372,3.4277592,3.5440025,3.5902872,3.0897088,3.468395,3.0614955,3.43745,2.8495114,3.2197485,3.0535953,2.6972687,2.8347442,2.6738892,2.69716,2.6395423,2.5220187,2.502018,2.4413419,2.4637365,2.4555724,2.2247565,2.3373241,2.2651653,2.2788956,2.0141432,2.0702174,2.0255625,1.9827265,1.9494888,1.8974603,1.859446,1.8255912,1.8638078,1.8563143,1.768731,1.7986362,1.7705133,1.7152971,1.7682627,1.7371554,1.5465559,1.608288,1.6098843,1.6694142,1.5450572,1.509981,1.5062065,1.550993,1.5440646,1.4873803,1.5673167,1.424732,1.4067535,1.4142071,1.4507486,1.357057,1.4190094,1.3869209,1.368809,1.3480104,1.3444995,1.316742,1.4199219,1.3669426,1.4871507,1.3896285,1.3571546,blues
84.11598,29.2269,28.074501,21.317114,24.5389,18.694324,13.074583,10.28361,12.94069,12.060497,11.5292015,11.598226,10.202727,11.375216,11.498175,9.574107,10.100795,11.117239,10.745738,11.596958,13.236248,10.217111,10.260339,10.2897215,10.747012,10.162504,10.516789,8.528195,8.843162,8.555468,8.266995,7.265541,7.4183598,8.712798,8.268069,7.3231206,6.747712,6.8677454,5.956874,7.0615053,5.8865757,5.902613,6.2845902,5.2472844,5.5563498,5.5533195,4.87308,5.274107,4.910211,4.800259,4.8869843,4.464106,4.702594,4.274608,4.2508473,4.27721,4.014438,4.2286825,3.9507787,3.9980178,3.8669696,3.6944156,3.931976,3.4602888,3.6291766,3.6094985,3.6113002,3.5106843,3.2453866,3.3524427,3.3876655,3.0510628,3.0537827,2.9823322,2.9289,2.7999306,2.9137998,2.9108493,2.7378416,2.6859913,2.5616667,2.429703,2.3987463,2.3871956,2.4586017,2.3012218,2.3073485,2.1529732,2.0624826,2.2093785,2.2179668,2.0403917,1.888164,1.9070276,1.9165992,1.8884442,1.8319353,1.8696003,1.7531761,1.7836779,1.6553543,1.7614799,1.6679732,1.5901908,1.7245913,1.6044858,1.5238789,1.4862005,1.5172867,1.4963195,1.4651881,1.468183,1.5088569,1.442115,1.4577142,1.4482976,1.3789507,1.3260796,1.3576673,1.3807818,1.3745673,1.3531891,1.4027048,1.3426161,1.4219955,1.3543605,1.3594434,1.3227928,blues
